game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
82,DALLY,True,5,THINK,-----,5,5,LLM,LEGER,Y----,5,5,CSS,SALEU,-GG--,3.0,3.0,LLM,CALLY,-GGGG,1.0,1.0,CSS,DALLY,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,160,90.30890369473047,160,12,92.5,12,3,75.0,3,1,66.66666666666666,,,
83,INIGO,True,4,THINK,--GY-,4,4,LLM,NOIDA,YYG--,4,4,CSS,ORION,Y-G-Y,4.0,4.0,LLM,INIGO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,32,99.43151536685025,32,5,84.375,5,1,80.0,1,1,0.0,,,,,,
84,KRILL,True,3,THINK,--G-Y,4,4,LLM,KEIRA,G-GY-,3,3,CSS,KRILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,17,99.69799253863918,17,1,94.11764705882352,1,1,0.0,,,,,,,,,
85,SNIDE,True,3,WORDS,---GY,4,4,LLM,SHADE,G--GG,2,2,CSS,SNIDE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,16,99.71575768342512,16,3,81.25,3,1,66.66666666666666,,,,,,,,,
86,LEWES,True,4,GIVEN,---G-,4,4,LLM,MATER,---G-,4,4,CSS,SEWSG,YGG--,3.0,3.0,LLM,LEWES,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,502,91.08189731746313,502,96,80.87649402390437,96,1,98.95833333333334,1,1,0.0,,,,,,
87,TAMER,True,6,THINK,G----,4,4,LLM,TABOR,GG--G,2,2,CSS,TAPER,GG-GG,1.0,1.0,LLM,TATER,GG-GG,1.0,1.0,CSS,TASER,GG-GG,1.0,1.0,LLM,TAMER,GGGGG,0.0,0.0,CSS,5629,136,97.58394030911352,136,6,95.58823529411765,6,3,50.0,3,2,33.33333333333333,2,1,50.0,1,1,0.0
88,COTTA,True,5,THINK,Y----,5,5,LLM,GUTSY,--G--,4,4,CSS,GRATE,--YG-,4.0,4.0,LLM,LOTTA,-GGGG,1.0,1.0,CSS,COTTA,GGGGG,0.0,0.0,LLM,,,,,,5629,451,91.98791970154558,451,58,87.13968957871397,58,2,96.55172413793103,2,1,50.0,1,1,0.0,,,
89,CORBY,False,6,COULD,GG---,3,3,LLM,COTTA,GG---,3,3,CSS,COVER,GG--Y,3.0,3.0,LLM,CORGI,GGG--,2.0,2.0,CSS,CORPS,GGG--,2.0,2.0,LLM,CORNY,GGG-G,1.0,1.0,CSS,5629,62,98.89856102327234,62,43,30.64516129032258,43,8,81.3953488372093,8,6,25.0,6,3,50.0,3,2,33.33333333333333
90,POLIS,True,5,ABOUT,--Y--,5,5,LLM,ROSEN,-GY--,4,4,CSS,WORDS,-G--G,3.0,3.0,LLM,LOCKS,YG--G,3.0,3.0,CSS,POLIS,GGGGG,0.0,0.0,LLM,,,,,,5629,530,90.5844732634571,530,34,93.58490566037736,34,18,47.05882352941176,18,6,66.66666666666666,6,1,83.33333333333334,,,
91,ROXAS,True,5,THING,-----,5,5,LLM,CLEAR,---GY,4,4,CSS,ARRAY,-Y-G-,4.0,4.0,LLM,ROJAS,GG-GG,1.0,1.0,CSS,ROXAS,GGGGG,0.0,0.0,LLM,,,,,,5629,1638,70.90069284064666,1638,14,99.14529914529915,14,2,85.71428571428571,2,1,50.0,1,1,0.0,,,
92,RANCE,True,3,GREAT,-YYY-,5,5,LLM,MARNE,-GYYG,3,3,CSS,RANCE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,154,97.26416770296677,154,1,99.35064935064936,1,1,0.0,,,,,,,,,
93,CARON,True,4,THINK,---Y-,5,5,LLM,ROUEN,YY--G,4,4,CSS,CROWN,GYY-G,3.0,2.0,LLM,CARON,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,445,92.09451057026115,445,21,95.28089887640449,21,1,95.23809523809523,1,1,0.0,,,,,,
94,SURYA,True,5,THERE,---Y-,5,5,LLM,BARNS,-YG-Y,4,4,CSS,SPRAY,G-GYY,3.0,3.0,LLM,SYRIA,GYG-G,2.0,2.0,CSS,SURYA,GGGGG,0.0,0.0,LLM,,,,,,5629,539,90.42458696038372,539,5,99.07235621521335,5,2,60.0,2,1,50.0,1,1,0.0,,,
95,AGGIE,True,4,THINK,--Y--,5,5,LLM,SYRIA,---GY,4,4,CSS,GLIMS,Y-Y--,5.0,4.0,LLM,AGGIE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,465,91.73920767454254,465,32,93.11827956989247,32,1,96.875,1,1,0.0,,,,,,
96,CAUSA,True,4,THIRD,-----,5,5,LLM,BUENA,-Y--G,4,4,CSS,PAULA,-GG-G,2.0,2.0,LLM,CAUSA,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1218,78.36205365073725,1218,6,99.50738916256158,6,1,83.33333333333334,1,1,0.0,,,,,,
97,BAMBA,True,4,THINK,-----,5,5,LLM,CAUSA,-G--G,3,3,CSS,MAGMA,YG--G,3.0,3.0,LLM,BAMBA,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1651,70.66974595842956,1651,31,98.12235009085403,31,1,96.7741935483871,1,1,0.0,,,,,,
98,MAYNE,True,4,WORDS,-----,5,5,LLM,MALIN,GG--Y,3,3,CSS,MANGA,GGY--,3.0,3.0,LLM,MAYNE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1044,81.45318884348907,1044,7,99.32950191570882,7,1,85.71428571428571,1,1,0.0,,,,,,
99,BOGGS,True,5,THINK,-----,5,5,LLM,SALAM,Y----,5,5,CSS,BREAK,G----,4.0,4.0,LLM,BOGUS,GGG-G,1.0,1.0,CSS,BOGGS,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,151,90.85402786190187,151,8,94.70198675496688,8,1,87.5,1,1,0.0,,,
100,FINNS,True,3,THINK,--YG-,4,4,LLM,ICONS,Y--GG,3,3,CSS,FINNS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,28,99.50257594599397,28,3,89.28571428571429,3,1,66.66666666666666,,,,,,,,,
